cycle_id,r04_grab_count,r03_nose_peak,r03_nose_fwhm,r03_nose_impulse,label
5_63,9,1407.0,0.5,76.6,"NoNose,NoBody2,NoBody1"
5_64,9,1396.0,1.0,58.9,"NoNose,NoBody2,NoBody1"
5_65,9,1394.0,1.1,61.77333333333333,"NoNose,NoBody2,NoBody1"
5_66,9,1392.0,0.2,50.3,"NoNose,NoBody2,NoBody1"
5_67,9,1393.0,2.3,64.6,"NoNose,NoBody2,NoBody1"
5_68,9,1396.0,1.4,61.3,"NoNose,NoBody2,NoBody1"
5_69,7,1393.0,2.0,62.65,"NoNose,NoBody2,NoBody1"
5_7,5,1401.0,2.0,72.2,NoNose
5_70,9,1393.0,1.5,67.8,"NoNose,NoBody2,NoBody1"
5_71,9,1387.0,2.4,66.9,"NoNose,NoBody2,NoBody1"
5_72,9,1396.0,2.2,63.3,"NoNose,NoBody2,NoBody1"
5_73,9,1389.0,1.7,53.2,"NoNose,NoBody2,NoBody1"
5_74,9,1395.0,0.3,60.9,"NoNose,NoBody2,NoBody1"
5_75,9,1393.0,0.5,67.3,"NoNose,NoBody2,NoBody1"
5_76,7,1399.0,1.4,55.6,"NoNose,NoBody2,NoBody1"
5_77,9,1388.0,1.7,47.0,"NoNose,NoBody2,NoBody1"
5_78,9,1413.0,0.5,66.4,"NoNose,NoBody2,NoBody1"
5_79,9,1392.0,1.5,60.55,"NoNose,NoBody2,NoBody1"
5_8,5,1397.0,2.3,70.9,NoNose
5_80,9,1384.0,2.5,51.8,"NoNose,NoBody2,NoBody1"
5_81,9,1392.0,1.3,54.9,"NoNose,NoBody2,NoBody1"
5_82,9,1400.0,0.6,61.4,"NoNose,NoBody2,NoBody1"
5_83,9,1387.0,1.5,56.9,"NoNose,NoBody2,NoBody1"
5_84,9,1394.0,0.6,51.0,"NoNose,NoBody2,NoBody1"
5_85,8,1392.0,2.1,56.4,"NoNose,NoBody2,NoBody1"
5_86,9,1398.0,1.2,68.1,"NoNose,NoBody2,NoBody1"
5_87,9,1409.0,0.5,59.17868020304568,"NoNose,NoBody2,NoBody1"
5_88,9,1393.0,1.4,58.7,"NoNose,NoBody2,NoBody1"
5_89,9,1392.0,1.1,55.6,"NoNose,NoBody2,NoBody1"
5_9,5,1394.0,1.6,67.95,NoNose
5_90,9,1392.0,1.6,52.8,"NoNose,NoBody2,NoBody1"
5_91,9,1392.0,1.3,59.9,"NoNose,NoBody2,NoBody1"
5_92,8,1406.0,1.0,61.3,"NoNose,NoBody2,NoBody1"
5_93,9,1395.0,1.2,53.5,"NoNose,NoBody2,NoBody1"
5_94,9,1389.0,1.1,56.86875,"NoNose,NoBody2,NoBody1"
5_95,9,1399.0,1.3,67.8,"NoNose,NoBody2,NoBody1"
5_96,9,1391.0,1.7,50.5,"NoNose,NoBody2,NoBody1"
5_97,9,1388.0,2.4,63.2,"NoNose,NoBody2,NoBody1"
5_98,9,1398.0,0.7,48.4,"NoNose,NoBody2,NoBody1"
5_99,9,1391.0,0.7,66.6,"NoNose,NoBody2,NoBody1"
